name,salary,dist,,,,,,
אום אל-פחם,4682.00,58.6,,,,,,
אופקים,5412.00,85.8,,,,,,
אור יהודה,6974.00,0,,,,,,
אור עקיבא,6046.00,38.7,,,,,,
אילת,6679.00,321.7,,,,,,
אלעד,5536.00,11.4,,,,,,
אריאל,7250.00,31.9,,,,,,
אשדוד,7022.00,28.3,,,,,,
אשקלון,6534.00,44.5,,,,,,
באר שבע,7062.00,90.8,,,,,,
בית שאן,5894.00,99.4,,,,,,
בית שמש,6113.00,39.4,,,,,,
ביתר עילית,4195.00,58.3,,,,,,
בני ברק,5141.00,0,,,,,,
בת ים,6225.00,0,,,,,,
גבעת שמואל,11542.00,0.5,,,,,,
גבעתיים,11345.00,0,,,,,,
דימונה,7478.00,128.4,,,,,,
הוד השרון,12236.00,5.9,,,,,,
הרצלייה,10692.00,0,,,,,,
חדרה,7236.00,31.9,,,,,,
חולון,7859.00,0,,,,,,
חיפה,8843.00,79.7,,,,,,
טבריה,5312.00,115.6,,,,,,
טייבה,5300.00,21.1,,,,,,
טירה,5359.00,13.3,,,,,,
טירת כרמל,6056.00,68.9,,,,,,
טמרה,4601.00,97.9,,,,,,
יבנה,8096.00,14.5,,,,,,
יהוד,10246.00,1.4,,,,,,
יקנעם עילית,9301.00,68.1,,,,,,
ירושלים,6620.00,53.3,,,,,,
כפר סבא,10414.00,6.8,,,,,,
כפר קאסם,4791.00,11.3,,,,,,
כרמיאל,7323.00,113.2,,,,,,
לוד,6227.00,12,,,,,,
מגדל העמק,5954.00,84.5,,,,,,
מודיעין עילית,4018.00,26.8,,,,,,
מודיעין-מכבים-רעות*,12737.00,24.6,,,,,,
מעלה אדומים,8038.00,61.3,,,,,,
מעלות-תרשיחא,6756.00,123.9,,,,,,
נהרייה,8193.00,110.4,,,,,,
נס ציונה,11262.00,7.7,,,,,,
נצרת,5435.00,85.6,,,,,,
נצרת עילית,6160.00,88.7,,,,,,
נשר,8457.00,80.9,,,,,,
נתיבות,5386.00,70.7,,,,,,
נתניה,7287.00,16.6,,,,,,
סח'נין,5130.00,105.3,,,,,,
עכו,5839.00,101.2,,,,,,
עפולה,6317.00,74.8,,,,,,
ערד,6792.00,123.2,,,,,,
פתח תקווה,8692.00,4.6,,,,,,
צפת,5270.00,142,,,,,,
קלנסווה,5385.00,24.1,,,,,,
קריית אונו,12335.00,0,,,,,,
קריית אתא,7248.00,85.3,,,,,,
קריית ביאליק,8003.00,90.6,,,,,,
קריית גת,5716.00,49,,,,,,
קריית ים,6403.00,89.8,,,,,,
קריית מוצקין,8333.00,89.4,,,,,,
קריית מלאכי,5051.00,35.1,,,,,,
קריית שמונה,6256.00,162,,,,,,
ראש העין,8895.00,10.1,,,,,,
ראשון לציון,9004.00,3.7,,,,,,
רהט,4314.00,74.8,,,,,,
רחובות,8971.00,11.2,,,,,,
רמלה,5956.00,10.3,,,,,,
רמת גן,9714.00,0,,,,,,
רמת השרון,13116.00,0,,,,,,
רעננה,11773.00,2.4,,,,,,
שדרות,5932.00,60.1,,,,,,
שפרעם,5412.00,90.5,,,,,,
תל אביב -יפו,9731.00,0,,,,,,
אבו גוש,5411.11,41.6,,,,,,
אבו סנאן,5241.03,107.9,,,,,,
אבן יהודה,12577.80,14.4,,,,,,
אורנית,11630.34,15.1,,,,,,
אזור,8145.58,0,,,,,,
אכסאל,5450.13,85.1,,,,,,
אליכין,7779.81,30.3,,,,,,
אלפי מנשה,10528.31,18.7,,,,,,
אלקנה,10625.75,17.4,,,,,,
אעבלין,5068.33,93.9,,,,,,
אפרת,9065.48,67.1,,,,,,
באר יעקב,9087.87,8.9,,,,,,
בועיינה-נוג'ידאת,4709.98,107.7,,,,,,
בוקעאתא,4231.26,179.9,,,,,,
ביר אל-מכסור,4802.61,87.9,,,,,,
בית אל,6457.62,63.6,,,,,,
בית אריה,9691.74,20.4,,,,,,
בית ג'ן,5397.88,126.8,,,,,,
בית דגן,9062.71,2.4,,,,,,
"בני עי""ש",6562.07,25.2,,,,,,
בנימינה-גבעת עדה*,12395.56,44.1,,,,,,
"בסמ""ה",5006.54,53.2,,,,,,
בסמת טבעון,5046.72,79.5,,,,,,
גבעת זאב,4154.22,41.5,,,,,,
ג'דיידה-מכר,7979.66,105.2,,,,,,
גדרה,4744.44,22.1,,,,,,
ג'ולס,9837.01,107.7,,,,,,
ג'לג'וליה,5878.13,11.4,,,,,,
גן יבנה,4437.81,30,,,,,,
גני תקווה,9923.00,1.4,,,,,,
ג'סר א-זרקא,12061.84,42.2,,,,,,
ג'ש (גוש חלב),4078.55,137.4,,,,,,
דבורייה,6640.47,89.8,,,,,,
דייר חנא,5965.00,112.5,,,,,,
הר אדר,5389.81,45.4,,,,,,
זכרון יעקב,5195.76,48.2,,,,,,
זמר,4965.04,33.9,,,,,,
זרזיר,14677.98,82,,,,,,
חורה,12769.96,95.3,,,,,,
חורפיש,5477.21,131.9,,,,,,
חצור הגלילית,4908.93,137,,,,,,
טובא-זנגרייה,5245.23,139.5,,,,,,
טורעאן,5972.28,99.6,,,,,,
יאנוח-ג'ת,5635.35,118.2,,,,,,
יבנאל,8168.33,102,,,,,,
יסוד המעלה,4636.02,147.4,,,,,,
יפיע,4736.57,86.6,,,,,,
ירוחם,6133.01,125.7,,,,,,
ירכא,5603.61,111.4,,,,,,
כאבול,5150.00,98.8,,,,,,
כאוכב אבו אל-היג'א,6510.44,98.3,,,,,,
כוכב יאיר,5449.65,19,,,,,,
כסיפה,5024.65,111.8,,,,,,
כסרא-סמיע,5846.90,122.7,,,,,,
כעביה-טבאש-חג'אג'רה,13903.52,85.9,,,,,,
כפר ברא,4846.24,13.7,,,,,,
כפר ורדים,6189.36,122.1,,,,,,
כפר יאסיף,4847.06,106.9,,,,,,
כפר יונה,5343.03,22.4,,,,,,
כפר כמא,12693.00,95.4,,,,,,
כפר כנא,5348.45,93.3,,,,,,
כפר מנדא,9285.38,91.4,,,,,,
כפר קרע,6673.31,50.4,,,,,,
כפר שמריהו,4377.21,0,,,,,,
כפר תבור,4206.64,90.8,,,,,,
להבים,5864.29,79.1,,,,,,
לקיה,10734.37,89.3,,,,,,
מבשרת ציון,15109.63,46.2,,,,,,
מגאר,4887.31,115.7,,,,,,
מגדל,11200.80,120,,,,,,
מג'דל שמס,5160.82,185.7,,,,,,
מזכרת בתיה,4701.02,18.2,,,,,,
מזרעה,3882.78,107.3,,,,,,
מטולה,11558.98,171.3,,,,,,
מיתר,5023.65,95.6,,,,,,
מסעדה,13365.47,181,,,,,,
מעיליא,3881.53,124.9,,,,,,
מעלה אפרים,7420.43,61.5,,,,,,
מעלה עירון,4928.97,63.2,,,,,,
מצפה רמון,5978.07,173,,,,,,
משהד,4724.90,91.6,,,,,,
נחף,4609.53,115.6,,,,,,
סאג'ור,5446.21,120.5,,,,,,
סביון*,18964.92,1.5,,,,,,
ע'ג'ר,5466.45,173.9,,,,,,
עומר,15112.33,93.7,,,,,,
עיילבון,6068.61,109.2,,,,,,
עילוט,4566.38,89.6,,,,,,
עין מאהל,4496.30,93.1,,,,,,
עין קנייא,4259.65,182,,,,,,
עמנואל,6540.59,36,,,,,,
עראבה,5003.89,109.1,,,,,,
ערערה,5350.89,52.7,,,,,,
ערערה-בנגב,5218.48,118.3,,,,,,
פוריידיס,4689.86,49.5,,,,,,
פסוטה,6006.61,135,,,,,,
פקיעין (בוקייעה),5934.79,126.8,,,,,,
פרדס חנה-כרכור,8434.57,40.8,,,,,,
פרדסייה,10682.10,18.7,,,,,,
קדומים,7601.72,34.6,,,,,,
קדימה-צורן,11496.88,16.5,,,,,,
קצרין,5643.56,154.2,,,,,,
קריית ארבע,5067.52,82.6,,,,,,
קריית טבעון,11306.54,75.3,,,,,,
קריית יערים,5305.13,40.5,,,,,,
קריית עקרון,6723.07,15.5,,,,,,
קרני שומרון,7284.85,26.7,,,,,,
ראמה,5598.81,119.8,,,,,,
ראש פינה,8431.19,135.2,,,,,,
ריינה,4781.74,89.6,,,,,,
רכסים,4608.30,78.9,,,,,,
רמת ישי,11073.53,76.9,,,,,,
שבלי - אום אל-גנם,5154.59,90.3,,,,,,
שגב-שלום,4425.58,100.2,,,,,,
שוהם,14432.82,12.4,,,,,,
שלומי,6956.89,120.9,,,,,,
שעב,4434.20,104.6,,,,,,
תל מונד,13686.91,14.8,,,,,,
תל שבע,4616.84,95.2,,,,,,
,,,,,,,,